BA,CAT,DIS,GE,IBM,KO
2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00
2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00
1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00
51.15452930728242,51.15452930728242,71.31438721136767,98.75666074600356,51.15452930728242,50.44404973357016
17016.014387573243,16530.441549591065,10676.302737213136,79069.4514390602,9718.541442016603,11204.386107086182
19038.96048876953,18913.591314605714,20034.773371673586,81939.84932710647,13035.072820922853,11339.476263641358
70.16014387573243,65.30441549591065,6.763027372131364,690.694514390602,-2.8145855798339654,12.043861070861823
-53.16243097986949,49.60788130311525,0.8606511537863367,-46.8984260382926,-8.798291775547867,33.53698083745212
12.633150359695588,11.90572197884865,1.4753652674991402,58.84564404544959,-0.6369049263625026,2.577734202487947
54.31284967753848,29.281671398044757,30.480262172640092,74.92629539797076,24.186858376682384,19.155555008311985
0.23259965983556427,0.4065929781468567,0.048403955948366745,0.7853804026062032,0.0,0.13456849469354532
0.45162965772157504,0.6608223770474857,0.07637106400948837,2.075744693019499,0.0,0.19022137346523407
0.29561137281488553,0.379179289945793,0.030591371632623564,1.37220011241971,0.0,0.07109694236795562
-42.735670956768566,-31.3986609884487,-48.228150251548904,-42.88415626324527,-32.078040120885134,-36.25661127798047
-24.20400431924056,-4.825410093194476,-6.693221043979543,-7.303049256222434,-9.003845204544982,-5.214889327846162
432 days 00:00:00,366 days 00:00:00,436 days 00:00:00,525 days 00:00:00,567 days 00:00:00,676 days 00:00:00
139 days 00:00:00,26 days 00:00:00,43 days 00:00:00,34 days 00:00:00,75 days 00:00:00,68 days 00:00:00
32,4,7,38,6,4
46.875,75.0,71.42857142857143,57.89473684210527,50.0,50.0
49.32082835021385,64.60715776684802,13.998891972749817,66.38696677732474,17.759992005289572,12.606795180679109
-31.170373747806845,-2.6914264227355766,-24.248487314007395,-12.66368099103017,-8.9244585789374,-1.4237304119955607
1.6704534768051893,13.459265923555908,0.9459513128714514,5.596104783962397,-0.4559261758504518,2.8874087123434755
411 days 00:00:00,812 days 00:00:00,553 days 00:00:00,225 days 00:00:00,498 days 00:00:00,812 days 00:00:00
26 days 00:00:00,208 days 00:00:00,166 days 00:00:00,43 days 00:00:00,139 days 00:00:00,205 days 00:00:00
1.7460076391869233,25.278362274364376,1.4077383527088336,4.547097342490718,0.9712854482852867,7.355512882110514
2.9411670849526423,16.335856431492722,1.8199182481888028,6.678573215993904,-0.09327206694324519,3.035350551254565
0.7105479316225279,1.011857532539669,0.1438854705060034,1.7938089365209788,-0.11538753898833254,0.9331315159404483
ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst
