BA,CAT,DIS,GE,IBM,KO
2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00,2017-11-28 00:00:00
2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00,2022-05-18 00:00:00
1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00,1632 days 00:00:00
77.88632326820604,81.70515097690941,71.31438721136767,81.52753108348135,51.15452930728242,50.88809946714032
3901.576821060171,5261.000104110719,15183.845138397217,33312.88166191482,7591.320403076173,9008.220909133912
14533.386347900389,14974.998345230102,28512.57604202271,34545.11249374771,10737.748906005858,13660.84037400818
-60.984231789398294,-47.38999895889281,51.83845138397217,233.1288166191482,-24.086795969238274,-9.917790908660882
-53.16243097986949,49.60788130311525,0.8606511537863367,-46.8984260382926,-8.798291775547867,33.53698083745212
-18.993640924899736,-13.388653458674614,9.797747956728298,30.906486839569467,-5.981159890815824,-2.3104371709459004
73.63447422801212,30.856584779309358,32.57065715778016,61.004539014147156,22.939146769056567,13.58367377999766
0.0,0.0,0.30081517573519106,0.5066260206048299,0.0,0.0
0.0,0.0,0.5301723433577847,1.0664009722173002,0.0,0.0
0.0,0.0,0.2029989363059433,0.6146902250094759,0.0,0.0
-93.76830209180356,-74.91365145233179,-48.26502116228796,-50.279776027173725,-35.51261615098164,-35.023830794997544
-12.496163392118548,-10.397161394590825,-5.667200008032106,-9.41029531701636,-9.344094719654242,-8.622744332550292
847 days 00:00:00,867 days 00:00:00,436 days 00:00:00,342 days 00:00:00,814 days 00:00:00,786 days 00:00:00
105 days 00:00:00,94 days 00:00:00,31 days 00:00:00,43 days 00:00:00,208 days 00:00:00,137 days 00:00:00
58,15,6,29,7,2
50.0,46.666666666666664,83.33333333333334,44.827586206896555,42.857142857142854,0.0
28.09840956399874,35.18285716008127,24.92540564286301,66.71859743427416,6.0072164294684205,-0.13328580350637775
-60.71711452476689,-44.97879843095309,-24.248487314007395,-20.533153121856795,-13.693877083090522,-9.837634106043591
-1.5803050955814024,-4.16658109432968,7.253601842617607,4.240702159707022,-3.8910593336426658,-5.109435526963857
267 days 00:00:00,586 days 00:00:00,553 days 00:00:00,360 days 00:00:00,498 days 00:00:00,818 days 00:00:00
22 days 00:00:00,89 days 00:00:00,194 days 00:00:00,46 days 00:00:00,119 days 00:00:00,414 days 00:00:00
0.9314919430544751,0.6871470544115545,3.190141631061563,2.6753482250229763,0.22237947757964988,0.0
-0.2636274677108308,-2.312976464581775,8.851270259445963,5.6547176518957665,-3.6862969967543964,-4.985459954774985
-0.6393463797229613,-0.8126957700327203,0.6763029240620664,1.4721148025219015,-1.3405642690409918,-1.0274879595968627
ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst,ModelStrategy_Inst
